5.39,4.18,8.21,0.87,0.02,0.21,0.494,
5.39,4.18,8.21,0.87,0.02,0.21,0.496,
6.16,4.45,8.37,0.83,-0.15,0.13,0.506,
6.58,4.56,8.33,0.75,-0.28,0.05,0.514,
6.96,4.60,8.25,0.68,-0.31,-0.02,0.525,
7.73,4.83,8.02,0.59,-0.28,-0.09,0.534,
7.73,4.83,8.02,0.59,-0.28,-0.09,0.535,
7.54,4.95,7.87,0.55,-0.28,-0.10,0.543,
7.54,4.95,7.87,0.55,-0.28,-0.10,0.545,
7.50,4.91,7.87,0.43,-0.30,-0.06,0.552,
7.50,4.91,7.87,0.43,-0.30,-0.06,0.553,
7.27,4.79,7.91,0.25,-0.35,0.01,0.560,
7.27,4.79,7.91,0.25,-0.35,0.01,0.562,
6.73,4.37,7.72,0.25,-0.35,0.01,0.566,
6.20,4.11,7.45,0.03,-0.41,0.01,0.574,
6.20,4.11,7.45,0.03,-0.41,0.01,0.575,
5.58,3.68,7.11,-0.17,-0.45,-0.03,0.583,
5.58,3.68,7.11,-0.17,-0.45,-0.03,0.584,
5.16,3.41,6.68,-0.32,-0.41,-0.06,0.592,
4.59,3.07,6.22,-0.32,-0.41,-0.06,0.596,
4.13,2.84,5.77,-0.38,-0.34,-0.07,0.605,
4.13,2.84,5.77,-0.38,-0.26,-0.12,0.612,
4.01,2.96,5.38,-0.38,-0.26,-0.12,0.614,
4.01,2.96,5.38,-0.38,-0.26,-0.12,0.615,
4.16,3.07,4.89,-0.32,-0.18,-0.13,0.623,
4.20,3.34,4.42,-0.23,-0.08,-0.04,0.632,
4.05,3.38,4.12,-0.23,-0.08,-0.04,0.636,
4.09,3.41,3.81,-0.16,0.00,0.09,0.645,
4.09,3.41,3.81,-0.16,0.00,0.09,0.646,
4.05,3.45,3.46,-0.05,0.06,0.21,0.653,
4.05,3.45,3.46,-0.05,0.06,0.21,0.654,
4.05,3.45,3.46,0.07,0.12,0.31,0.662,
4.24,3.61,3.20,0.07,0.12,0.31,0.666,
4.24,3.61,3.20,0.18,0.13,0.39,0.671,
4.47,3.57,3.27,0.18,0.13,0.39,0.676,
4.63,3.49,3.46,0.28,0.14,0.48,0.684,
4.63,3.49,3.46,0.28,0.14,0.48,0.686,
4.63,3.49,3.46,0.40,0.16,0.55,0.694,
5.28,3.53,3.93,0.50,0.17,0.61,0.701,
5.50,3.72,4.19,0.50,0.17,0.61,0.706,
5.85,4.07,4.42,0.55,0.13,0.64,0.715,
5.85,4.07,4.42,0.55,0.06,0.66,0.723,
6.20,4.30,4.58,0.55,0.06,0.66,0.724,
6.20,4.30,4.58,0.55,0.06,0.66,0.726,
6.42,4.56,4.84,0.56,0.02,0.70,0.733,
6.65,5.14,5.07,0.60,-0.01,0.71,0.741,
6.93,5.60,5.30,0.60,-0.01,0.71,0.746,
6.93,5.60,5.30,0.61,-0.07,0.74,0.749,
7.11,6.10,5.57,0.61,-0.07,0.74,0.754,
7.11,6.10,5.57,0.61,-0.07,0.74,0.756,
7.61,6.44,5.84,0.52,-0.15,0.79,0.764,
7.61,6.44,5.84,0.52,-0.15,0.79,0.765,
7.61,6.44,5.84,0.52,-0.15,0.79,0.767,
6.58,6.29,5.99,0.19,-0.24,0.78,0.780,
6.35,6.25,6.15,0.19,-0.24,0.78,0.785,
6.00,6.40,6.26,0.16,-0.22,0.80,0.794,
6.00,6.40,6.26,0.16,-0.22,0.80,0.795,
6.00,6.40,6.26,0.11,-0.16,0.83,0.803,
5.66,6.44,6.30,0.11,-0.16,0.83,0.804,
5.39,6.44,6.15,0.07,-0.08,0.89,0.811,
5.08,6.48,5.84,0.07,-0.08,0.89,0.816,
4.89,6.44,5.54,0.10,0.04,0.94,0.824,
4.89,6.44,5.54,0.10,0.04,0.94,0.825,
4.78,6.52,5.27,0.20,0.22,0.97,0.834,
4.78,6.52,5.27,0.20,0.22,0.97,0.835,
4.78,6.52,5.27,0.34,0.37,1.00,0.843,
