m,-8.12,16.88,-34.62, ,0.393
g,-0.00,-0.00,0.00, ,0.399
m,-8.44,17.31,-35.44, ,0.403
g,0.00,-0.00,-0.00, ,0.409
m,-8.12,17.25,-35.06, ,0.413
g,-0.00,0.00,0.00, ,0.419
m,-7.75,16.38,-33.81, ,0.423
g,-0.00,0.00,0.00, ,0.429
m,-7.69,16.06,-34.19, ,0.433
g,0.00,0.00,0.00, ,0.439
m,-7.38,16.38,-34.25, ,0.442
g,0.00,0.00,0.00, ,0.449
m,-7.88,17.19,-34.25, ,0.453
g,0.00,0.00,0.00, ,0.459
m,-7.88,17.56,-34.69, ,0.463
g,-0.00,0.00,0.00, ,0.469
m,-6.69,16.69,-35.56, ,0.473
g,0.00,0.00,0.00, ,0.479
m,-7.44,15.81,-36.31, ,0.483
g,0.00,0.00,0.00, ,0.489
m,-7.38,16.75,-35.12, ,0.493
g,0.00,0.00,0.00, ,0.499
m,-8.06,16.88,-35.06, ,0.503
g,0.00,0.00,-0.00, ,0.509
m,-7.62,16.44,-35.50, ,0.513
g,0.00,0.00,-0.00, ,0.520
m,-7.25,16.00,-35.50, ,0.524
g,0.00,-0.00,0.00, ,0.529
m,-8.38,16.12,-34.12, ,0.533
g,0.00,0.00,0.00, ,0.539
m,-8.69,16.62,-35.00, ,0.543
g,-0.00,0.00,-0.00, ,0.549
m,-8.12,17.31,-35.50, ,0.553
g,-0.00,0.00,-0.00, ,0.559
m,-7.31,16.81,-36.00, ,0.562
g,0.00,0.00,0.00, ,0.569
m,-7.62,16.06,-35.06, ,0.573
g,0.00,0.00,0.00, ,0.579
m,-7.25,16.44,-36.00, ,0.583
g,-0.00,0.00,0.00, ,0.589
m,-7.56,16.06,-35.44, ,0.592
g,0.00,0.00,0.00, ,0.600
m,-7.88,16.19,-35.88, ,0.604
g,-0.00,-0.00,0.00, ,0.609
m,-8.56,17.69,-35.06, ,0.613
g,0.00,-0.00,0.00, ,0.619
m,-7.81,17.19,-35.12, ,0.623
g,0.00,0.00,0.00, ,0.629
m,-8.00,16.50,-35.44, ,0.632
g,0.00,0.00,0.00, ,0.639
m,-7.62,16.44,-35.50, ,0.643
g,0.00,0.00,0.00, ,0.649
m,-7.31,16.38,-35.12, ,0.652
g,-0.00,-0.00,-0.00, ,0.660
m,-7.06,16.75,-35.56, ,0.663
g,0.00,0.00,0.00, ,0.669
m,-7.69,16.44,-35.06, ,0.673
g,0.00,0.00,0.00, ,0.679
m,-7.75,16.81,-34.69, ,0.683
g,-0.00,0.00,-0.00, ,0.689
m,-7.88,17.19,-34.25, ,0.693
g,0.00,0.00,-0.00, ,0.699
m,-8.06,16.50,-34.19, ,0.703
g,-0.00,-0.00,0.00, ,0.710
m,-7.44,16.75,-34.25, ,0.713
g,0.00,-0.00,0.00, ,0.719
m,-7.69,16.88,-35.50, ,0.723
g,-0.00,0.00,0.00, ,0.729
m,-8.44,16.94,-35.00, ,0.733
g,-0.00,0.00,0.00, ,0.739
m,-7.69,16.88,-35.56, ,0.743
g,0.00,0.00,-0.00, ,0.749
m,-7.56,16.12,-35.94, ,0.752
g,0.00,0.00,-0.00, ,0.759
m,-7.62,16.44,-35.50, ,0.763
g,0.00,0.00,0.00, ,0.769
m,-7.38,17.19,-35.56, ,0.773
g,0.00,-0.00,0.00, ,0.780
m,-8.50,17.31,-34.62, ,0.783
g,0.00,-0.00,-0.00, ,0.789
m,-7.00,16.38,-35.62, ,0.793
g,0.00,-0.00,0.00, ,0.799
m,-8.44,16.12,-33.75, ,0.803
g,-0.00,-0.00,-0.00, ,0.809
m,-7.62,16.50,-35.94, ,0.813
g,0.00,0.00,0.00, ,0.819
m,-7.69,16.06,-34.19, ,0.822
g,0.00,0.00,0.00, ,0.829
m,-7.25,16.44,-36.00, ,0.832
g,0.00,0.00,0.00, ,0.839
m,-8.00,16.50,-35.06, ,0.843
g,0.00,0.00,0.00, ,0.850
m,-8.25,17.19,-33.81, ,0.854
g,0.00,0.00,0.00, ,0.860
m,-8.06,16.50,-34.19, ,0.863
g,0.00,0.00,-0.00, ,0.870
m,-8.06,16.88,-35.06, ,0.874
