r,0.96,-0.01,0.04,-0.26,0.382
g,0.00,0.00,0.00, ,0.389
r,0.96,-0.01,0.04,-0.26,0.392
g,0.00,0.00,0.00, ,0.399
r,0.96,-0.01,0.04,-0.26,0.402
g,-0.00,-0.00,0.00, ,0.409
r,0.96,-0.01,0.04,-0.26,0.412
g,0.00,0.00,0.00, ,0.419
r,0.96,-0.01,0.04,-0.26,0.422
g,0.00,-0.00,0.00, ,0.429
r,0.96,-0.01,0.04,-0.26,0.432
g,0.00,-0.00,0.00, ,0.439
r,0.96,-0.01,0.04,-0.26,0.442
g,0.00,-0.00,0.00, ,0.450
r,0.96,-0.01,0.04,-0.26,0.452
g,0.00,-0.00,0.00, ,0.459
r,0.96,-0.01,0.04,-0.26,0.461
g,0.00,0.00,0.00, ,0.469
r,0.96,-0.01,0.04,-0.26,0.471
g,0.00,0.00,-0.00, ,0.480
r,0.96,-0.01,0.04,-0.26,0.483
g,0.00,0.00,0.00, ,0.489
r,0.96,-0.01,0.04,-0.26,0.492
g,0.00,0.00,0.00, ,0.499
r,0.96,-0.01,0.04,-0.26,0.502
g,0.00,0.00,0.00, ,0.509
r,0.96,-0.01,0.04,-0.26,0.512
g,-0.00,0.00,-0.00, ,0.519
r,0.96,-0.01,0.04,-0.26,0.522
g,0.00,0.00,0.00, ,0.528
r,0.96,-0.01,0.04,-0.26,0.532
g,-0.00,-0.00,0.00, ,0.539
r,0.96,-0.01,0.04,-0.26,0.541
g,0.00,0.00,0.00, ,0.549
r,0.96,-0.01,0.04,-0.26,0.552
g,-0.00,-0.00,-0.00, ,0.560
r,0.96,-0.01,0.04,-0.26,0.563
g,0.00,0.00,0.00, ,0.569
r,0.96,-0.01,0.04,-0.26,0.572
g,-0.00,0.00,0.00, ,0.579
r,0.96,-0.01,0.04,-0.26,0.582
g,-0.00,0.00,-0.00, ,0.589
r,0.96,-0.01,0.04,-0.26,0.592
g,0.00,0.00,0.00, ,0.599
r,0.96,-0.01,0.04,-0.26,0.602
g,-0.00,0.00,0.00, ,0.610
r,0.96,-0.01,0.04,-0.26,0.612
g,-0.00,0.00,-0.00, ,0.620
r,0.96,-0.01,0.04,-0.26,0.624
g,0.00,0.00,0.00, ,0.629
r,0.96,-0.01,0.04,-0.26,0.632
g,0.00,0.00,-0.00, ,0.639
r,0.96,-0.01,0.04,-0.26,0.642
g,-0.00,0.00,0.00, ,0.649
r,0.96,-0.01,0.04,-0.26,0.652
g,0.00,0.00,-0.00, ,0.660
r,0.96,-0.01,0.04,-0.26,0.662
g,0.00,-0.00,0.00, ,0.670
r,0.96,-0.01,0.04,-0.26,0.672
g,0.00,0.00,-0.00, ,0.679
r,0.96,-0.01,0.04,-0.26,0.682
g,0.00,0.00,-0.00, ,0.689
r,0.96,-0.01,0.04,-0.26,0.692
g,0.00,0.00,0.00, ,0.699
r,0.96,-0.01,0.04,-0.26,0.702
g,-0.00,0.00,-0.00, ,0.709
r,0.96,-0.01,0.04,-0.26,0.713
g,-0.00,-0.00,0.00, ,0.719
r,0.96,-0.01,0.04,-0.26,0.722
g,0.00,0.00,0.00, ,0.729
r,0.96,-0.01,0.04,-0.26,0.732
g,0.00,0.00,0.00, ,0.739
r,0.96,-0.01,0.04,-0.26,0.742
g,-0.00,0.00,0.00, ,0.750
r,0.96,-0.01,0.04,-0.26,0.752
g,0.00,0.00,0.00, ,0.760
r,0.96,-0.01,0.04,-0.26,0.762
g,0.00,0.00,0.00, ,0.770
r,0.96,-0.01,0.04,-0.26,0.772
g,-0.00,-0.00,-0.00, ,0.780
r,0.96,-0.01,0.04,-0.26,0.783
g,0.00,0.00,0.00, ,0.789
r,0.96,-0.01,0.04,-0.26,0.792
g,-0.00,0.00,-0.00, ,0.799
r,0.96,-0.01,0.04,-0.26,0.802
g,0.00,-0.00,-0.00, ,0.809
r,0.96,-0.01,0.04,-0.26,0.812
g,0.00,0.00,0.00, ,0.820
r,0.96,-0.01,0.04,-0.26,0.822
g,0.00,0.00,0.00, ,0.830
r,0.96,-0.01,0.04,-0.26,0.833
g,0.00,0.00,0.00, ,0.840
r,0.96,-0.01,0.04,-0.26,0.843
g,0.00,0.00,-0.00, ,0.849
r,0.96,-0.01,0.04,-0.26,0.852
g,0.00,0.00,0.00, ,0.860
r,0.96,-0.01,0.04,-0.26,0.863
g,0.00,-0.00,0.00, ,0.869
r,0.96,-0.01,0.04,-0.26,0.872
g,0.00,0.00,-0.00, ,0.880
r,0.96,-0.01,0.04,-0.26,0.882
g,0.00,0.00,0.00, ,0.890
r,0.96,-0.01,0.04,-0.26,0.892
g,0.00,0.00,0.00, ,0.900
r,0.96,-0.01,0.04,-0.26,0.903
g,0.00,0.00,-0.00, ,0.910
r,0.96,-0.01,0.04,-0.26,0.913
g,0.00,0.00,0.00, ,0.919
r,0.96,-0.01,0.04,-0.26,0.922
g,0.00,0.00,0.00, ,0.929
r,0.96,-0.01,0.04,-0.26,0.932
g,-0.00,-0.00,-0.00, ,0.940
r,0.96,-0.01,0.04,-0.26,0.943
g,0.00,0.00,0.00, ,0.949
r,0.96,-0.01,0.04,-0.26,0.952
g,0.00,0.00,-0.00, ,0.960
r,0.96,-0.01,0.04,-0.26,0.962
g,0.00,0.00,0.00, ,0.970
r,0.96,-0.01,0.04,-0.26,0.972
g,0.00,0.00,0.00, ,0.980
r,0.96,-0.01,0.04,-0.26,0.983
g,-0.00,-0.00,0.00, ,0.990
r,0.96,-0.01,0.04,-0.26,0.993
g,0.00,-0.00,-0.00, ,1.000
