r,0.96,-0.01,0.05,-0.27,0.777
g,0.00,0.00,0.00, ,0.781
r,0.96,-0.01,0.05,-0.27,0.784
a,-0.77,-0.46,9.65, ,0.789
g,-0.00,0.00,-0.00, ,0.792
m,-8.06,19.06,-35.25, ,0.794
r,0.96,-0.01,0.05,-0.27,0.797
g,0.00,0.00,-0.00, ,0.801
r,0.96,-0.01,0.05,-0.27,0.804
g,0.00,0.00,0.00, ,0.809
r,0.96,-0.01,0.05,-0.27,0.812
a,-0.77,-0.38,9.61, ,0.815
m,-7.44,18.94,-35.31, ,0.818
g,0.00,0.00,0.00, ,0.822
r,0.96,-0.01,0.05,-0.27,0.824
g,0.00,0.00,-0.00, ,0.830
r,0.96,-0.01,0.05,-0.27,0.832
a,-0.80,-0.38,9.65, ,0.835
m,-7.81,19.81,-36.12, ,0.839
g,0.00,0.00,0.00, ,0.842
r,0.96,-0.01,0.05,-0.27,0.845
g,0.00,0.00,0.00, ,0.849
r,0.96,-0.01,0.05,-0.27,0.852
a,-0.77,-0.42,9.65, ,0.855
m,-7.12,20.00,-36.62, ,0.859
g,-0.00,0.00,0.00, ,0.861
r,0.96,-0.01,0.05,-0.27,0.864
g,0.00,0.00,0.00, ,0.869
r,0.96,-0.01,0.05,-0.27,0.872
a,-0.77,-0.42,9.65, ,0.875
m,-8.06,19.06,-34.81, ,0.878
g,0.00,0.00,0.00, ,0.882
r,0.96,-0.01,0.05,-0.27,0.884
g,0.00,0.00,0.00, ,0.890
r,0.96,-0.01,0.05,-0.27,0.892
a,-0.80,-0.38,9.61, ,0.895
m,-7.75,18.62,-34.81, ,0.899
g,0.00,0.00,0.00, ,0.901
r,0.96,-0.01,0.05,-0.27,0.904
a,-0.80,-0.42,9.65, ,0.909
g,0.00,0.00,0.00, ,0.911
m,-7.38,18.94,-35.69, ,0.914
r,0.96,-0.01,0.05,-0.27,0.917
g,0.00,0.00,0.00, ,0.921
r,0.96,-0.01,0.05,-0.27,0.924
a,-0.80,-0.38,9.61, ,0.929
g,-0.00,0.00,0.00, ,0.932
m,-7.69,19.06,-36.06, ,0.934
r,0.96,-0.01,0.05,-0.27,0.937
g,0.00,0.00,-0.00, ,0.941
r,0.96,-0.01,0.05,-0.27,0.944
g,0.00,0.00,0.00, ,0.949
r,0.96,-0.01,0.05,-0.27,0.952
a,-0.77,-0.38,9.61, ,0.955
m,-8.19,18.81,-36.88, ,0.959
g,0.00,0.00,0.00, ,0.962
r,0.96,-0.01,0.05,-0.27,0.965
a,-0.77,-0.42,9.61, ,0.971
g,-0.00,0.00,0.00, ,0.973
m,-7.81,19.81,-36.12, ,0.976
r,0.96,-0.01,0.05,-0.27,0.980
g,0.00,0.00,-0.00, ,0.983
r,0.96,-0.01,0.05,-0.27,0.986
g,0.00,0.00,0.00, ,0.990
r,0.96,-0.01,0.05,-0.27,0.993
a,-0.77,-0.42,9.65, ,0.997
m,-7.69,19.06,-36.06, ,1.000
g,0.00,0.00,0.00, ,1.003
r,0.96,-0.01,0.05,-0.27,1.006
g,0.00,0.00,0.00, ,1.011
r,0.96,-0.01,0.05,-0.27,1.013
a,-0.80,-0.42,9.61, ,1.017
m,-7.75,19.44,-36.06, ,1.021
g,0.00,0.00,-0.00, ,1.024
r,0.96,-0.01,0.05,-0.27,1.027
g,0.00,0.00,0.00, ,1.031
r,0.96,-0.01,0.05,-0.27,1.034
a,-0.73,-0.42,9.65, ,1.037
m,-7.44,19.38,-35.75, ,1.041
g,0.00,-0.00,0.00, ,1.043
r,0.96,-0.01,0.04,-0.27,1.046
g,-0.00,0.00,-0.00, ,1.050
r,0.96,-0.01,0.04,-0.27,1.053
a,-0.77,-0.38,9.61, ,1.057
m,-7.81,19.00,-34.44, ,1.060
g,0.00,0.00,0.00, ,1.064
r,0.96,-0.01,0.04,-0.27,1.066
g,0.00,-0.00,0.00, ,1.071
r,0.96,-0.01,0.04,-0.27,1.073
a,-0.80,-0.38,9.61, ,1.077
m,-7.31,18.62,-36.12, ,1.081
g,0.00,0.00,-0.00, ,1.083
r,0.96,-0.01,0.04,-0.27,1.086
g,0.00,0.00,-0.00, ,1.090
r,0.96,-0.01,0.04,-0.27,1.093
a,-0.80,-0.42,9.65, ,1.097
m,-7.25,19.62,-34.50, ,1.100
g,-0.00,0.00,0.00, ,1.104
r,0.96,-0.01,0.04,-0.27,1.106
g,0.00,0.00,0.00, ,1.111
r,0.96,-0.01,0.04,-0.27,1.114
a,-0.77,-0.38,9.61, ,1.117
m,-7.94,18.31,-35.25, ,1.121
g,-0.00,0.00,-0.00, ,1.123
r,0.96,-0.01,0.04,-0.27,1.126
g,0.00,0.00,0.00, ,1.130
r,0.96,-0.01,0.04,-0.27,1.133
a,-0.77,-0.38,9.61, ,1.137
m,-7.38,18.94,-35.69, ,1.140
g,0.00,0.00,0.00, ,1.144
r,0.96,-0.01,0.04,-0.27,1.146
g,0.00,0.00,-0.00, ,1.151
r,0.96,-0.01,0.04,-0.27,1.154
a,-0.77,-0.42,9.65, ,1.157
m,-7.38,19.75,-37.00, ,1.160
g,0.00,0.00,0.00, ,1.162
r,0.96,-0.01,0.04,-0.27,1.165
g,0.00,0.00,0.00, ,1.169
r,0.96,-0.01,0.04,-0.27,1.172
a,-0.80,-0.38,9.61, ,1.174
m,-8.19,19.81,-34.81, ,1.177
g,0.00,0.00,0.00, ,1.181
r,0.96,-0.01,0.04,-0.27,1.184
a,-0.77,-0.42,9.61, ,1.188
m,-8.25,18.75,-36.00, ,1.191
g,0.00,0.00,0.00, ,1.194
r,0.96,-0.01,0.04,-0.27,1.197
g,0.00,0.00,0.00, ,1.201
r,0.96,-0.01,0.04,-0.27,1.204
a,-0.80,-0.38,9.65, ,1.208
m,-8.06,19.44,-36.06, ,1.211
g,0.00,0.00,0.00, ,1.213
r,0.96,-0.01,0.04,-0.27,1.216
g,0.00,0.00,0.00, ,1.220
r,0.96,-0.01,0.04,-0.27,1.223
a,-0.77,-0.42,9.65, ,1.226
m,-7.69,19.06,-36.06, ,1.230
g,0.00,0.00,0.00, ,1.233
r,0.96,-0.01,0.04,-0.27,1.236
g,0.00,0.00,0.00, ,1.240
r,0.96,-0.01,0.04,-0.27,1.243
a,-0.80,-0.38,9.65, ,1.247
m,-7.69,18.62,-35.69, ,1.250
g,0.00,0.00,0.00, ,1.253
r,0.96,-0.01,0.04,-0.27,1.256
g,0.00,0.00,0.00, ,1.260
r,0.96,-0.01,0.04,-0.27,1.263
a,-0.80,-0.42,9.65, ,1.267
m,-8.06,19.44,-36.06, ,1.270
g,0.00,0.00,0.00, ,1.273
r,0.96,-0.01,0.04,-0.27,1.275
